Path,Unilateral_RAU14,AU17,AU02,AU25,AU20,Unilateral_RAU12,AU05,Unilateral_LAU14,AU18,AU14,AU26,AU06,Unilateral_LAU12,AU04,Neutral
e985c65e-4b17-436f-9d89-de3388324fb6/19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
e985c65e-4b17-436f-9d89-de3388324fb6/22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
e985c65e-4b17-436f-9d89-de3388324fb6/23,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
e985c65e-4b17-436f-9d89-de3388324fb6/24,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
e985c65e-4b17-436f-9d89-de3388324fb6/25,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
e985c65e-4b17-436f-9d89-de3388324fb6/26,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
e985c65e-4b17-436f-9d89-de3388324fb6/55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
e985c65e-4b17-436f-9d89-de3388324fb6/56,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
e985c65e-4b17-436f-9d89-de3388324fb6/57,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
e985c65e-4b17-436f-9d89-de3388324fb6/59,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
e985c65e-4b17-436f-9d89-de3388324fb6/60,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
e985c65e-4b17-436f-9d89-de3388324fb6/43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93a66ade-e486-4de8-9388-cc5f9dd1a4c8/5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93a66ade-e486-4de8-9388-cc5f9dd1a4c8/9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93a66ade-e486-4de8-9388-cc5f9dd1a4c8/15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93a66ade-e486-4de8-9388-cc5f9dd1a4c8/31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93a66ade-e486-4de8-9388-cc5f9dd1a4c8/34,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93a66ade-e486-4de8-9388-cc5f9dd1a4c8/37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93a66ade-e486-4de8-9388-cc5f9dd1a4c8/38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93a66ade-e486-4de8-9388-cc5f9dd1a4c8/48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93a66ade-e486-4de8-9388-cc5f9dd1a4c8/49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93a66ade-e486-4de8-9388-cc5f9dd1a4c8/52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93a66ade-e486-4de8-9388-cc5f9dd1a4c8/53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93a66ade-e486-4de8-9388-cc5f9dd1a4c8/56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93a66ade-e486-4de8-9388-cc5f9dd1a4c8/57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93a66ade-e486-4de8-9388-cc5f9dd1a4c8/58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
