Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:18:05.797939,11:18:07.454287,1,-1.0
1,11:18:05.797939,11:18:07.965725,0,-1.0
1,11:18:05.797939,11:18:08.039131,1,-1.0
1,11:18:05.797939,11:18:08.530678,1,-1.0
1,11:18:05.797939,11:18:09.139162,1,-1.0
1,11:18:05.797939,11:18:09.798164,1,-1.0
1,11:18:05.797939,11:18:10.308681,1,-1.0
1,11:18:05.797939,11:18:10.778184,1,-1.0
1,11:18:05.797939,11:18:11.278507,1,-1.0
1,11:18:05.797939,11:18:11.746439,1,-1.0
1,11:18:05.797939,11:18:12.136001,1,-1.0
1,11:18:05.797939,11:18:12.526962,1,-1.0
1,11:18:05.797939,11:18:14.065466,-1,-1.0
1,11:18:05.797939,11:18:14.633013,-1,-1.0
1,11:18:05.797939,11:18:14.951638,0,-1.0
1,11:18:05.797939,11:18:15.146858,-1,-1.0
1,11:18:05.797939,11:18:15.697273,0,-1.0
1,11:18:05.797939,11:18:15.984364,-1,-1.0
1,11:18:05.797939,11:18:16.578419,-1,-1.0
1,11:18:05.797939,11:18:16.922927,-1,-1.0
1,11:18:05.797939,11:18:17.324978,-1,-1.0
1,11:18:05.797939,11:18:17.686775,0,-1.0
1,11:18:05.797939,11:18:17.881921,-1,-1.0
1,11:18:05.797939,11:18:18.509739,1,-1.0
1,11:18:05.797939,11:18:18.841454,1,-1.0
1,11:18:05.797939,11:18:19.164025,1,-1.0
1,11:18:05.797939,11:18:19.427172,1,-1.0
1,11:18:05.797939,11:18:19.716561,1,-1.0
1,11:18:05.797939,11:18:20.018857,1,-1.0
1,11:18:05.797939,11:18:20.346222,1,-1.0
1,11:18:05.797939,11:18:20.669491,1,-1.0
1,11:18:05.797939,11:18:20.875419,0,-1.0
1,11:18:05.797939,11:18:20.913458,0,-1.0
1,11:18:05.797939,11:18:20.987023,1,-1.0
1,11:18:05.797939,11:18:21.307246,1,-1.0
1,11:18:05.797939,11:18:21.628993,1,-1.0
1,11:18:05.797939,11:18:21.948871,1,-1.0
1,11:18:05.797939,11:18:22.217975,1,-1.0
1,11:18:05.797939,11:18:22.563777,1,-1.0
1,11:18:05.797939,11:18:22.923383,1,-1.0
1,11:18:05.797939,11:18:23.292218,1,-1.0
1,11:18:05.797939,11:18:23.691722,1,-1.0
1,11:18:05.797939,11:18:24.137933,0,-1.0
1,11:18:05.797939,11:18:24.598631,-1,-1.0
1,11:18:05.797939,11:18:25.088872,-1,-1.0
1,11:18:05.797939,11:18:25.572600,-1,-1.0
1,11:18:05.797939,11:18:26.041841,-1,-1.0
1,11:18:05.797939,11:18:26.487802,-1,-1.0
1,11:18:05.797939,11:18:26.992162,-1,-1.0
1,11:18:05.797939,11:18:27.569999,0,-1.0
1,11:18:05.797939,11:18:27.718334,1,-1.0
1,11:18:05.797939,11:18:27.914564,0,-1.0
1,11:18:05.797939,11:18:28.009982,1,-1.0
1,11:18:05.797939,11:18:28.341274,1,-1.0
1,11:18:05.797939,11:18:28.650640,1,-1.0
1,11:18:05.797939,11:18:28.979304,1,-1.0
1,11:18:05.797939,11:18:29.323226,1,-1.0
1,11:18:05.797939,11:18:29.782668,1,-1.0
1,11:18:05.797939,11:18:30.184328,1,-1.0
1,11:18:05.797939,11:18:30.579148,1,-1.0
1,11:18:05.797939,11:18:31.037414,1,-1.0
1,11:18:05.797939,11:18:31.451276,1,-1.0
1,11:18:05.797939,11:18:31.937450,1,-1.0
1,11:18:05.797939,11:18:32.420186,1,-1.0
1,11:18:05.797939,11:18:32.924176,1,-1.0
1,11:18:05.797939,11:18:33.302053,1,-1.0
1,11:18:05.797939,11:18:33.789271,1,-1.0
1,11:18:05.797939,11:18:34.197958,0,-1.0
1,11:18:05.797939,11:18:34.469074,1,-1.0
1,11:18:05.797939,11:18:35.125047,1,-1.0
1,11:18:05.797939,11:18:35.884794,-1,-1.0
1,11:18:05.797939,11:18:36.373027,-1,-1.0
1,11:18:05.797939,11:18:36.865870,1,-1.0
1,11:18:05.797939,11:18:36.914851,0,-1.0
1,11:18:05.797939,11:18:37.130985,1,-1.0
1,11:18:05.797939,11:18:37.422804,1,-1.0
1,11:18:05.797939,11:18:37.460740,0,-1.0
1,11:18:05.797939,11:18:37.704578,1,-1.0
1,11:18:05.797939,11:18:37.947377,1,-1.0
1,11:18:05.797939,11:18:38.233453,1,-1.0
1,11:18:05.797939,11:18:38.479325,1,-1.0
1,11:18:05.797939,11:18:38.702925,1,-1.0
1,11:18:05.797939,11:18:38.808714,0,-1.0
1,11:18:05.797939,11:18:38.938849,1,-1.0
